step,beta,cost
32000.0,,0.0
32190.47619047619,0.0,
32476.190476190477,0.0,
32690.47619047619,0.0,
32952.380952380954,0.0,
33000.0,,0.0
33333.333333333336,0.0,
33500.0,0.0,
33714.28571428572,0.0,
33952.380952380954,0.0,
34000.0,,0.0
34227.27272727273,0.0,
34477.27272727273,0.0,
34727.27272727273,0.0,
34954.545454545456,0.0,
35000.0,,0.0
35307.692307692305,0.0,
35461.53846153846,0.0,
35692.307692307695,0.0,
35948.717948717946,0.0,
36000.0,,0.0
36220.0,0.0,
36440.0,0.0,
36720.0,0.0,
36960.0,0.0,
37000.0,,0.0
37232.558139534885,0.0,
37511.62790697674,0.0,
37720.93023255814,0.0,
37953.48837209302,0.0,
38000.0,,0.0
38261.90476190476,0.0,
38500.0,0.0,
38690.47619047619,0.0,
38952.380952380954,0.0,
39000.0,,0.0
39210.52631578947,0.0,
39500.0,0.0,
39657.89473684211,0.0,
39947.36842105263,0.0,
40000.0,,0.0
40240.74074074074,0.0,
40518.51851851852,0.0,
40740.74074074074,0.0,
40962.96296296296,0.0,
41000.0,,0.0
41261.90476190476,0.0,
41523.80952380953,0.0,
41714.28571428572,0.0,
41952.380952380954,0.0,
42000.0,,0.0
42288.88888888889,0.0,
42511.11111111111,0.0,
42755.555555555555,0.0,
42955.555555555555,0.0,
43000.0,,0.0
43162.16216216216,0.0,
43513.51351351351,0.0,
43783.78378378379,0.0,
43945.94594594595,0.0,
44000.0,,0.0
44195.65217391304,0.0,
44391.30434782609,0.0,
44673.913043478264,0.0,
44956.52173913043,0.0,
45000.0,,0.0
45291.666666666664,0.0,
45562.5,0.0,
45729.166666666664,0.0,
45958.333333333336,0.0,
46000.0,,0.0
46268.29268292683,0.0,
46463.41463414634,0.0,
46731.70731707317,0.0,
46951.21951219512,0.0,
47000.0,,0.0
47244.444444444445,0.0,
47533.333333333336,0.0,
47733.333333333336,0.0,
47955.555555555555,0.0,
48000.0,,0.0
48255.813953488374,0.0,
48465.11627906977,0.0,
48744.186046511626,0.0,
48953.48837209302,0.0,
49000.0,,0.0
49190.47619047619,0.0,
49404.76190476191,0.0,
49666.666666666664,0.0,
49952.380952380954,0.0,
50000.0,,0.0
50214.28571428572,0.0,
50547.619047619046,0.0,
50761.90476190476,0.0,
50952.380952380954,0.0,
51000.0,,0.0
51300.0,0.0,
51500.0,0.0,
51750.0,0.0,
51950.0,0.0,
52000.0,,0.0
52227.27272727273,0.0,
