step,cost
881000.0,0.0
882000.0,0.0
883000.0,0.0
884000.0,0.0
885000.0,0.0
886000.0,0.0
887000.0,0.0
888000.0,0.0
889000.0,0.0
890000.0,0.0
891000.0,0.0
892000.0,0.0
893000.0,0.0
894000.0,0.0
895000.0,0.0
896000.0,0.0
897000.0,0.0
898000.0,0.0
899000.0,0.0
900000.0,0.0
901000.0,0.0
902000.0,0.0
903000.0,0.0
904000.0,0.0
905000.0,0.0
906000.0,0.0
907000.0,0.0
908000.0,0.0
909000.0,0.0
910000.0,0.0
911000.0,0.0
912000.0,0.0
913000.0,0.0
914000.0,0.0
915000.0,0.0
916000.0,0.0
917000.0,0.0
918000.0,0.0
919000.0,0.0
920000.0,0.0
921000.0,0.0
922000.0,0.0
923000.0,2.0
924000.0,0.0
925000.0,0.0
926000.0,0.0
927000.0,0.0
928000.0,0.0
929000.0,0.0
930000.0,0.0
931000.0,0.0
932000.0,0.0
933000.0,1.0
934000.0,0.0
935000.0,0.0
936000.0,0.0
937000.0,0.0
938000.0,0.0
939000.0,0.0
940000.0,2.0
941000.0,2.0
942000.0,1.0
943000.0,0.0
944000.0,3.0
945000.0,0.0
946000.0,1.0
947000.0,1.0
948000.0,0.0
949000.0,2.0
950000.0,1.0
951000.0,0.0
952000.0,1.0
953000.0,0.0
954000.0,4.0
955000.0,6.0
956000.0,10.0
957000.0,0.0
958000.0,2.0
959000.0,0.0
960000.0,1.0
961000.0,4.0
962000.0,0.0
963000.0,2.0
964000.0,2.0
965000.0,3.0
966000.0,3.0
967000.0,1.0
968000.0,2.0
969000.0,3.0
970000.0,1.0
971000.0,6.0
972000.0,3.0
973000.0,4.0
974000.0,9.0
975000.0,9.0
976000.0,1.0
977000.0,6.0
978000.0,0.0
979000.0,12.0
980000.0,4.0
981000.0,15.0
982000.0,13.0
983000.0,8.0
984000.0,13.0
985000.0,0.0
986000.0,11.0
987000.0,8.0
988000.0,7.0
989000.0,26.0
990000.0,7.0
991000.0,34.0
992000.0,42.0
993000.0,3.0
994000.0,58.0
995000.0,10.0
996000.0,28.0
997000.0,1.0
998000.0,49.0
999000.0,18.0
1000000.0,5.0
1001000.0,9.0
1002000.0,31.0
1003000.0,4.0
1004000.0,30.0
1005000.0,8.0
1006000.0,13.0
1007000.0,29.0
1008000.0,3.0
1009000.0,16.0
1010000.0,3.0
1011000.0,36.0
1012000.0,2.0
1013000.0,13.0
1014000.0,6.0
1015000.0,1.0
1016000.0,19.0
1017000.0,14.0
1018000.0,0.0
1019000.0,3.0
1020000.0,2.0
1021000.0,0.0
1022000.0,9.0
1023000.0,6.0
1024000.0,11.0
1025000.0,19.0
1026000.0,16.0
1027000.0,14.0
1028000.0,0.0
1029000.0,17.0
1030000.0,12.0
1031000.0,5.0
1032000.0,6.0
1033000.0,8.0
1034000.0,11.0
1035000.0,4.0
1036000.0,21.0
1037000.0,16.0
1038000.0,8.0
1039000.0,5.0
1040000.0,5.0
1041000.0,5.0
1042000.0,13.0
1043000.0,5.0
1044000.0,3.0
1045000.0,16.0
1046000.0,3.0
1047000.0,9.0
1048000.0,16.0
1049000.0,29.0
1050000.0,1.0
1051000.0,10.0
1052000.0,17.0
1053000.0,24.0
1054000.0,12.0
1055000.0,7.0
1056000.0,10.0
1057000.0,19.0
1058000.0,31.0
1059000.0,1.0
1060000.0,20.0
1061000.0,33.0
1062000.0,2.0
1063000.0,33.0
1064000.0,27.0
1065000.0,22.0
1066000.0,7.0
1067000.0,37.0
1068000.0,32.0
1069000.0,37.0
1070000.0,52.0
1071000.0,38.0
1072000.0,61.0
1073000.0,13.0
1074000.0,24.0
1075000.0,1.0
1076000.0,22.0
1077000.0,12.0
1078000.0,3.0
1079000.0,2.0
1080000.0,2.0
1081000.0,5.0
1082000.0,3.0
1083000.0,4.0
1084000.0,3.0
1085000.0,2.0
1086000.0,3.0
1087000.0,0.0
1088000.0,1.0
1089000.0,0.0
1090000.0,0.0
1091000.0,0.0
1092000.0,0.0
1093000.0,0.0
1094000.0,0.0
1095000.0,3.0
1096000.0,1.0
1097000.0,0.0
1098000.0,0.0
1099000.0,1.0
1100000.0,0.0
1101000.0,1.0
1102000.0,0.0
1103000.0,5.0
1104000.0,0.0
1105000.0,0.0
1106000.0,6.0
1107000.0,0.0
1108000.0,2.0
1109000.0,12.0
1110000.0,1.0
1111000.0,2.0
1112000.0,2.0
1113000.0,6.0
1114000.0,3.0
1115000.0,36.0
1116000.0,15.0
1117000.0,7.0
1118000.0,32.0
1119000.0,26.0
1120000.0,74.0
1121000.0,71.0
1122000.0,160.0
1123000.0,49.0
1124000.0,47.0
1125000.0,129.0
1126000.0,158.0
1127000.0,107.0
1128000.0,232.0
1129000.0,152.0
1130000.0,131.0
1131000.0,55.0
1132000.0,143.0
1133000.0,201.0
1134000.0,210.0
1135000.0,286.0
1136000.0,309.0
1137000.0,173.0
1138000.0,521.0
1139000.0,250.0
1140000.0,265.0
1141000.0,645.0
1142000.0,291.0
1143000.0,686.0
1144000.0,418.0
1145000.0,209.0
1146000.0,428.0
1147000.0,558.0
1148000.0,328.0
1149000.0,565.0
1150000.0,177.0
1151000.0,322.0
1152000.0,288.0
1153000.0,253.0
1154000.0,267.0
1155000.0,698.0
1156000.0,251.0
1157000.0,580.0
1158000.0,143.0
1159000.0,169.0
1160000.0,121.0
1161000.0,424.0
1162000.0,151.0
1163000.0,93.0
1164000.0,232.0
1165000.0,88.0
1166000.0,380.0
1167000.0,86.0
1168000.0,28.0
1169000.0,127.0
1170000.0,463.0
1171000.0,110.0
1172000.0,172.0
1173000.0,104.0
1174000.0,477.0
1175000.0,88.0
1176000.0,200.0
1177000.0,575.0
1178000.0,156.0
1179000.0,470.0
1180000.0,174.0
1181000.0,501.0
1182000.0,93.0
1183000.0,497.0
1184000.0,51.0
1185000.0,382.0
1186000.0,202.0
1187000.0,118.0
1188000.0,382.0
1189000.0,58.0
1190000.0,118.0
1191000.0,19.0
1192000.0,86.0
1193000.0,11.0
1194000.0,211.0
1195000.0,14.0
1196000.0,54.0
1197000.0,85.0
1198000.0,135.0
1199000.0,74.0
1200000.0,6.0
1201000.0,141.0
1202000.0,21.0
1203000.0,102.0
1204000.0,36.0
1205000.0,27.0
1206000.0,16.0
1207000.0,16.0
1208000.0,22.0
1209000.0,25.0
1210000.0,22.0
1211000.0,40.0
1212000.0,53.0
1213000.0,10.0
1214000.0,13.0
1215000.0,3.0
1216000.0,17.0
1217000.0,5.0
1218000.0,4.0
1219000.0,81.0
1220000.0,8.0
1221000.0,70.0
1222000.0,33.0
1223000.0,12.0
1224000.0,74.0
1225000.0,34.0
1226000.0,11.0
1227000.0,20.0
1228000.0,7.0
1229000.0,17.0
1230000.0,2.0
1231000.0,9.0
1232000.0,0.0
1233000.0,5.0
1234000.0,0.0
1235000.0,1.0
1236000.0,5.0
1237000.0,0.0
1238000.0,1.0
1239000.0,1.0
1240000.0,1.0
1241000.0,4.0
1242000.0,0.0
1243000.0,8.0
1244000.0,4.0
1245000.0,0.0
1246000.0,2.0
1247000.0,0.0
1248000.0,6.0
1249000.0,0.0
1250000.0,0.0
1251000.0,0.0
1252000.0,2.0
1253000.0,2.0
1254000.0,0.0
1255000.0,1.0
1256000.0,0.0
1257000.0,0.0
1258000.0,0.0
1259000.0,0.0
1260000.0,0.0
1261000.0,0.0
1262000.0,0.0
1263000.0,0.0
1264000.0,0.0
1265000.0,0.0
1266000.0,0.0
